date,strategy,spy
2019-12-18,116005.99230595052,121612.43086948688
2019-12-19,116247.55265359025,122110.96101006497
2019-12-20,116580.87546917406,122646.29350374619
2019-12-23,116705.06139603493,122833.65093772573
2019-12-24,116719.78366436358,122837.4818558142
2019-12-26,116952.68878524445,123491.3812643332
2019-12-27,116908.411852355,123460.78499853339
2019-12-30,115945.1720907786,122780.10747257606
2019-12-31,116228.10748666846,123078.38275494345
2020-01-02,117505.82092862292,124229.42040380176
2020-01-03,116468.03163642563,123288.72569745374
2020-01-06,116341.20564179112,123759.08582035471
2020-01-07,116151.30123080345,123411.11076065306
2020-01-08,116671.26767924505,124068.84108726053
2020-01-09,117138.9527297294,124910.08516003212
2020-01-10,116955.44310133439,124550.64288551903
2020-01-13,117472.9977417085,125407.24893982534
2020-01-14,117370.33407813025,125215.99673912252
2020-01-15,117804.24941834548,125498.98665831696
2020-01-16,118828.65540050536,126542.95014660285
2020-01-17,119465.78539221987,126936.80683527728
2020-01-21,119333.30282685012,126688.2185605172
2020-01-22,119413.84659760326,126703.52946314408
2020-01-23,119134.29933090205,126848.82341651236
2020-01-24,117871.58528651699,125720.74573673088
2020-01-27,116287.166650242,123705.5168157511
2020-01-28,117446.43238174153,125001.89949688554
2020-01-29,117331.88347200908,124898.61794522069
2020-01-30,116743.93142615548,125303.94184870657
2020-01-31,114717.10380254213,123028.69574733615
2020-02-03,115808.85905164365,123942.61233624582
2020-02-04,116892.11144745267,125831.6763548457
2020-02-05,117117.88484966238,127284.74358579806
2020-02-06,118005.62359343155,127713.06576754169
2020-02-07,117759.98193793761,127032.38824158434
2020-02-10,118708.67538710625,127980.74478410925
2020-02-11,118811.05685026616,128202.54217170403
2020-02-12,119825.73897999183,129028.47534184878
2020-02-13,119632.70689134844,128890.83045493046
2020-02-14,119845.47374214692,129097.32970962535
2020-02-18,119936.21632059394,128764.65278282358
2020-02-19,120064.51911019234,129380.3196288198
2020-02-20,119426.83830052917,128848.7669743192
2020-02-21,118281.92254577452,127521.87741547367
2020-02-24,114017.88566585032,123292.55661554221
2020-02-25,109946.27493825453,119556.51759840766
2020-02-26,109312.04855266566,119116.7665110335
2020-02-27,102579.57609487585,113767.02986749748
2020-02-28,101728.17279000774,113289.0079084196
2020-03-02,103566.49861833757,118195.16254649298
2020-03-03,102809.11689137385,114810.99335578337
2020-03-04,103632.63267320846,119636.81364154175
2020-03-05,103001.12374651077,115659.92480418581
2020-03-06,102591.50134328933,113747.91358623609
2020-03-09,101119.83136037573,104864.83180162587
2020-03-10,104605.17881655898,110291.05910966144
2020-03-11,99945.72123496965,104914.52519409666
2020-03-12,91523.36533186639,94876.60038199362
2020-03-13,98511.24317267668,102987.23499783744
2020-03-16,88941.26976741289,91718.0084180594
2020-03-17,88941.26976741289,96670.04468510556
2020-03-18,88941.26976741289,91775.35726184364
2020-03-19,88941.26976741289,91970.37014713662
2020-03-20,88941.26976741289,88006.99806576945
2020-03-23,88941.26976741289,85756.79978383405
2020-03-24,88941.26976741289,93526.65508111905
